gene_symbol	flag	ClinVar_PL_record_count	interpretation
BPHL	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BPNT1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BPNT2	low_record_burden	11	computed but semantic interpretation limited because record count < 20
BRD7	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BRDT	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BRF1	low_record_burden	12	computed but semantic interpretation limited because record count < 20
BRME1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BRSK1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
BRWD1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
BSN	low_record_burden	4	computed but semantic interpretation limited because record count < 20
BTG4	low_record_burden	5	computed but semantic interpretation limited because record count < 20
BUB1	low_record_burden	6	computed but semantic interpretation limited because record count < 20
BUD13	low_record_burden	1	computed but semantic interpretation limited because record count < 20
C10orf67	low_record_burden	1	computed but semantic interpretation limited because record count < 20
C10orf71	low_record_burden	4	computed but semantic interpretation limited because record count < 20
C12orf43	low_record_burden	10	computed but semantic interpretation limited because record count < 20
C12orf60	low_record_burden	3	computed but semantic interpretation limited because record count < 20
C14orf39	low_record_burden	17	computed but semantic interpretation limited because record count < 20
C1GALT1C1	low_record_burden	8	computed but semantic interpretation limited because record count < 20
C1QA	low_record_burden	12	computed but semantic interpretation limited because record count < 20
C1QB	low_record_burden	7	computed but semantic interpretation limited because record count < 20
C1QBP	low_record_burden	12	computed but semantic interpretation limited because record count < 20
C1QC	low_record_burden	2	computed but semantic interpretation limited because record count < 20
C1RL	low_record_burden	1	computed but semantic interpretation limited because record count < 20
C1orf105	low_record_burden	7	computed but semantic interpretation limited because record count < 20
C1orf122	low_record_burden	2	computed but semantic interpretation limited because record count < 20
C1orf146	low_record_burden	1	computed but semantic interpretation limited because record count < 20
C2orf69	low_record_burden	8	computed but semantic interpretation limited because record count < 20
C3AR1	low_record_burden	1	computed but semantic interpretation limited because record count < 20
C3orf52	low_record_burden	4	computed but semantic interpretation limited because record count < 20
C4B	low_record_burden	2	computed but semantic interpretation limited because record count < 20
C6orf47	low_record_burden	1	computed but semantic interpretation limited because record count < 20
C6orf89	low_record_burden	1	computed but semantic interpretation limited because record count < 20
CA1	low_record_burden	2	computed but semantic interpretation limited because record count < 20
CA12	low_record_burden	5	computed but semantic interpretation limited because record count < 20
CA4	low_record_burden	14	computed but semantic interpretation limited because record count < 20
CA5A	low_record_burden	9	computed but semantic interpretation limited because record count < 20
CA8	low_record_burden	10	computed but semantic interpretation limited because record count < 20
CABP2	low_record_burden	11	computed but semantic interpretation limited because record count < 20
CACNA1H	low_record_burden	8	computed but semantic interpretation limited because record count < 20
